SCADDB	SCCDB	SCOPDB	SEX	AGE	MONLY	MWORK	MAGE	POVERTY
73.1999969482422	41.7999992370606	27.3199996948242	1	17.9422374429224	0	1	28.6666666666667	0
68	42	30	0	17.9954337899543	0	2	28.5833333333333	0
59	42	24	0	15.9422374429224	0	1	25.6666666666667	0
70	41	27	1	15.6648401826484	0	2	24.9166666666667	0
63	40	31	0	12.525799086758	0	1	27.6666666666667	0
78	57	33	0	15.0036529680365	0	2	26.5833333333333	0
55	39	22	0	17.5611872146119	0	1	27.0833333333333	0
66	42	26	1	16.7947488584475	0	1	29.8333333333333	0
58	41	31	1	13.1922374429224	0	3	26.4166666666667	0
61	46	22	1	12.8002283105023	0	1	39.8333333333333	0
59	40	22	0	9.65844748858448	0	2	25.5833333333333	0
79	41	28	1	11.7511415525114	0	1	35.4166666666667	0
65	41	23	1	18.0732876712329	1	2	39.5	0
66	43	32	0	13.8643835616438	0	1	29.75	0
56	45	25	0	17.925799086758	0	1	21.6666666666667	1
61	40	25	0	9.80045662100455	0	1	20.4166666666667	0
60	40	24	0	9.4972602739726	0	2	25.75	0
97	42	28	1	9.71712328767122	0	3	17.5	0
63	43	27	0	9.20890410958904	0	1	21	0
83	47	32	1	11.458904109589	0	3	28.75	0
115	63	51	1	11.6337899543379	1	1	23.5833333333333	1
64	43	28	0	10.3426940639269	0	1	26.8333333333333	0
74	41	23	1	12.8372146118722	1	3	22.3333333333333	0
98	43	45	0	12.8399543378995	0	1	18.3333333333333	0
56	41	24	1	15.3205479452055	0	1	18.25	0
64	43	25	1	13.5584474885845	0	1	19.0833333333333	0
67	42	28	0	18.0924657534247	0	1	18.5	0
71	44	23	1	13.0420091324201	0	1	18.5833333333333	0
80	53	33	1	12.7196347031963	1	3	25.9166666666667	0
62	40	28	0	16.386301369863	0	3	38.25	0
70	40	24	0	9.31963470319634	0	3	25.9166666666667	1
70	42	26	0	11.6200913242009	0	2	20.5833333333333	0
66	39	25	0	13.6472602739726	0	1	28	0
66	42	26	1	12.675799086758	0	1	19.9166666666667	0
83	58	36	1	16.9586757990868	0	1	21.6666666666667	0
77	43	28	0	15.2892694063927	0	1	20.3333333333333	0
76	44	42	0	17.662100456621	0	1	32.9166666666667	0
71	45	27	0	15.3424657534247	0	1	36.25	0
91	58	37	1	10.2538812785388	1	1	21.9166666666667	1
70	41	33	1	10.4671232876712	0	1	32.75	1
72	44	25	1	12.5979452054795	0	3	16	1
83	46	34	1	13.8808219178082	0	1	19.75	0
73	43	37	1	13.8057077625571	1	1	17.8333333333333	0
83	55	49	0	14.3397260273973	0	1	27.25	0
98	53	47	0	12.3947488584475	1	1	26.8333333333333	1
93	49	44	0	14.2563926940639	1	2	28.3333333333333	1
72	50	37	0	15.0842465753425	0	1	27.5	1
70	46	30	0	17.5529680365297	1	3	16.0833333333333	0
82	44	32	0	15.3945205479452	1	1	19.25	0
88	77	48	1	18.0036529680365	1	1	18.5833333333333	1
70	48	37	0	16.7141552511415	1	3	34.9166666666667	1
72	46	33	1	15.5392694063927	1	3	17.0833333333333	0
61	43	27	0	14.608904109589	0	1	22	1
63.4000015258789	43.4000015258789	24.6399993896484	1	16.8671232876712	1	1	27.75	1
63	46	22	0	13.7755707762557	1	1	29.8333333333333	0
59	43	27	0	15.2974885844749	0	1	26.3333333333333	0
80	56	27	1	9.83059360730592	0	1	23.4166666666667	1
77	46	28	1	9.54497716894977	0	1	31.6666666666667	0
71	40	27	0	11.8086757990868	0	3	17.4166666666667	0
65	41	27	1	17.372602739726	0	1	22.25	0
61	42	27	0	16.2755707762557	0	1	22.3333333333333	0
62	44	27	0	17.2920091324201	1	1	25.3333333333333	1
71	41	30	1	12.8561643835616	1	1	15.75	0
87	52	36	1	12.0559360730594	0	1	36.1666666666667	0
73	47	32	0	13.1337899543379	1	3	20.0833333333333	0
67	43	34	0	14.1648401826484	0	2	20.4166666666667	0
58	42	27	1	14.1253424657534	0	1	34.5	0
53	40	23	1	11.2922374429224	0	1	18.9166666666667	0
66	40	30	0	11.2566210045662	1	3	19.9166666666667	0
59	41	31	1	13.9805936073059	1	3	40.6666666666667	0
65	40	25	0	13.8111872146119	0	2	27.8333333333333	0
77	46	35	1	16.4422374429224	0	1	33.1666666666667	0
73	49	38	0	12.486301369863	0	1	20.75	0
73	46	29	0	18.3287671232877	0	2	25.25	0
66	46	35	0	18.2114155251142	0	3	23.4166666666667	0
66.1999969482422	43.4000015258789	27.3199996948242	1	13.9422374429224	0	1	24.6666666666667	0
62	45	31	0	17.898401826484	0	2	32.6666666666667	0
61	53	34	1	18.1867579908676	0	1	27.4166666666667	0
102	64	53	0	16.3205479452055	0	2	36.25	0
102	55	42	0	14.2372146118722	1	2	24.3333333333333	0
63	47	25	1	18.0255707762557	0	1	38.5833333333333	0
59	42	22	0	16.9148401826484	1	3	18.6666666666667	0
84	43	29	0	13.9230593607306	1	3	22.6666666666667	0
82	57	39	1	15.6171232876712	0	1	22	0
68	43	28	0	9.87557077625571	0	3	18.3333333333333	0
68	43	25	1	10.8372146118722	0	2	20.3333333333333	0
83	59	44	1	12.9111872146119	1	3	21.3333333333333	0
70	41	33	0	10.6420091324201	0	1	22.5833333333333	0
85	50	34	0	10.2061643835616	0	1	26	0
76	48	34	1	12.6529680365297	0	1	17.5833333333333	0
60	41	36	0	17.3315068493151	0	1	31.25	1
75	40	23	0	10.8481735159817	0	2	25.3333333333333	0
68	40	22	1	10.4561643835616	0	2	23.75	0
58	40	25	0	10.7006849315069	0	1	21.5	0
65	44	27	1	17.1922374429224	0	3	27.4166666666667	0
62	40	31	0	17.0842465753425	0	1	42.5	0
73	55	33	1	10.3755707762557	1	1	18.8333333333333	0
94	42	35	0	11.3168949771689	0	1	26.9166666666667	0
63	44	27	1	11.6639269406393	0	3	25.5833333333333	0
66	43	25	1	11.7593607305936	0	2	36.4166666666667	0
62	45	30	0	10.2785388127854	0	1	17.9166666666667	0
69	45	29	0	15.3972602739726	0	3	28.25	0
73	59	34	1	17.1006849315069	0	3	26.5	0
67	43	27	0	17.7646118721461	0	3	23.8333333333333	0
59	40	28	0	17.675799086758	0	2	26.9166666666667	0
70	47	27	1	16.0255707762557	0	1	25.5833333333333	0
63	48	29	1	17.8139269406393	0	2	25.8333333333333	0
58	40	25	0	9.48630136986301	0	1	27.75	0
60	44	28	1	9.86461187214612	0	1	25.3333333333333	0
70	44	28	0	13.8424657534247	1	3	29.75	0
64	39	27	1	12.7538812785388	0	1	28.4166666666667	0
81	42	30	0	12.6869863013699	0	1	21.5	0
61	40	32	0	14.2481735159817	0	1	21.3333333333333	0
87	59	30	1	10.472602739726	1	3	20.75	0
62	40	28	0	10.6009132420091	0	3	19.5833333333333	0
71	42	26	0	14.4872146118722	1	1	21.0833333333333	0
59	41	22	0	18.3315068493151	0	2	31.25	0
93	45	27	1	9.32237442922374	1	1	17.9166666666667	1
78	75	32	1	10.0175799086758	1	2	18.1666666666667	0
59	42	22	1	11.7253424657534	1	3	35.5	0
86	63	42	1	17.9805936073059	1	1	41.6666666666667	1
71	40	28	1	17.7810502283105	1	1	17.8333333333333	1
69	41	25	1	13.7920091324201	1	1	16.8333333333333	1
64	45	30	0	17.3945205479452	0	3	16.25	0
83	43	36	0	14.4340182648402	1	1	21.1666666666667	1
57	42	23	0	15.0650684931507	0	3	31.5	0
72	55	34	1	12.1678082191781	0	2	21	0
71.8000030517578	44.2000007629395	24.3999996185303	0	11.4084474885845	0	2	24.8333333333333	0
63	41	23	0	12.6675799086758	0	1	29.9166666666667	0
65	40	24	0	15.1445205479452	0	2	26.5	0
75	46	28	1	16.2974885844749	0	2	29.3333333333333	0
68	54	25	1	14.6785388127854	1	2	22.9166666666667	0
82	54	37	0	16.7223744292237	0	1	19.9166666666667	0
62	58	32	1	14.2114155251142	0	3	31.4166666666667	1
115	56	34	1	15.2646118721461	0	3	34.3333333333333	0
87	43	32	1	9.47808219178082	0	1	27.75	0
106	46	36	0	9.66118721461187	1	1	19.5833333333333	1
58	39	22	0	12.0926940639269	0	1	26.0833333333333	1
98	46	26	1	12.6760273972603	0	3	31.5	0
77	40	28	0	12.8168949771689	0	2	22.4166666666667	0
86	60	31	1	13.6445205479452	0	1	20	0
66	52	27	1	10.4342465753425	0	1	20.75	1
58	40	25	0	12.4424657534247	1	3	23.75	0
55	50	31	0	11.9945205479452	0	1	27.25	0
80	79	35	1	12.4397260273973	1	1	18.75	1
96	55	30	1	13.0926940639269	1	1	20.0833333333333	1
91	45	37	1	13.0696347031963	0	1	23.1666666666667	1
96	57	38	0	14.2563926940639	0	2	21.3333333333333	0
71	49	30	1	9.40844748858448	1	3	20.8333333333333	0
65	48	30	0	9.25662100456619	1	1	16.9166666666667	1
69	46	32	1	12.5639269406393	0	1	22.0833333333333	0
61	39	25	0	10.9506849315069	0	1	23.25	0
72	40	24	0	12.6228310502283	0	1	28.5833333333333	0
78	48	28	1	10.986301369863	0	1	23.25	0
134	63	46	1	17.8315068493151	0	1	21.75	0
55	40	22	0	13.7755707762557	0	1	35.8333333333333	0
63	40	29	0	16.2454337899543	0	1	21.3333333333333	0
84	44	35	0	14.7004566210046	0	1	19.9166666666667	0
84	42	37	0	9.45890410958904	0	1	16.75	0
68	42	28	0	11.9972602739726	0	1	34.25	0
68	41	31	0	10.3059360730594	0	1	18.9166666666667	1
64	41	25	0	12.1529680365297	1	3	22.0833333333333	1
88	41	31	1	10.9917808219178	0	1	21.25	0
67	40	27	1	15.2278538812785	1	3	29.4166666666667	0
64	49	26	0	9.21986301369862	0	1	30	0
75	57	30	1	13.5255707762557	0	1	23.0833333333333	0
59	39	26	0	12.8424657534247	0	1	26.75	0
113	45	43	1	12.8369863013699	0	1	21.75	0
53	41	26	0	13.6785388127854	0	1	29.9166666666667	0
61	43	29	0	9.77031963470318	0	1	27.4166666666667	0
55	45	25	1	17.5365296803653	0	1	23.0833333333333	0
67	41	35	0	15.8534246575342	0	3	33.75	0
68	47	24	1	18.5310502283105	0	2	35.0833333333333	0
68	41	36	0	17.1867579908676	0	1	36.4166666666667	0
67.5999984741211	41.7999992370606	27.3199996948242	1	18.3111872146119	0	1	25.3333333333333	0
59	42	23	0	15.7372146118722	0	2	33.8333333333333	0
61	40	24	0	12.0586757990868	0	3	22.1666666666667	0
76	41	23	0	16.2223744292237	0	2	36.4166666666667	1
58	41	27	1	17.3643835616438	0	2	29.25	0
58	39	23	0	9.55593607305935	0	1	29.6666666666667	0
62	39	22	0	13.0872146118722	0	1	25.0833333333333	0
74	41	27	0	14.4954337899543	0	1	23.0833333333333	0
70	41	28	1	16.5924657534247	0	2	30	0
78	45	25	1	9.19794520547945	0	2	26	0
68	42	32	1	9.43424657534247	0	1	24.75	0
53	39	26	0	9.93698630136985	0	3	20.25	0
62	40	28	1	12.262100456621	0	1	23.9166666666667	0
106	55	41	1	11.9111872146119	0	2	24.3333333333333	0
71	40	22	1	11.5422374429224	0	1	36.6666666666667	0
76	42	35	1	11.1310502283105	0	3	23.0833333333333	0
71	44	27	0	11.7280821917808	0	1	23.5	0
57	40	22	0	12.6787671232877	0	2	22.5	0
67	47	29	0	14.6785388127854	0	1	43.9166666666667	0
63	41	30	0	17.4066210045662	0	1	23.1666666666667	0
63	41	27	0	16.7372146118722	0	2	36.8333333333333	0
53	42	24	0	15.0474885844749	0	1	33.5833333333333	0
55	39	28	0	16.3780821917808	0	1	24.25	0
65	41	25	0	12.9312785388128	0	1	25.6666666666667	0
116	56	55	0	17.2168949771689	0	2	26.4166666666667	0
55	44	30	0	15.9926940639269	0	2	28.5833333333333	0
90	57	40	0	15.7728310502283	1	3	25.8333333333333	0
51	39	22	1	18.4422374429224	0	2	22.1666666666667	0
70	42	30	0	16.5639269406393	0	2	32.0833333333333	0
65	43	24	1	16.2947488584475	0	1	26.3333333333333	0
62	41.7999992370606	24.6399993896484	0	14.4422374429224	0	2	35.1666666666667	0
73	43	31	1	12.6566210045662	0	2	30.9166666666667	0
87	43	35	0	13.053196347032	0	1	32.1666666666667	0
60	41	32	1	12.2006849315069	0	3	22	0
74	42	28	1	13.3057077625571	0	1	39.3333333333333	0
62	41	31	0	14.0365296803653	0	1	22.5833333333333	0
80	44	35	0	14.7783105022831	0	1	20.8333333333333	0
74	41	27	0	17.5200913242009	0	2	30.0833333333333	0
84	58	44	1	10.708904109589	0	1	25.5	0
59	42	35	1	15.2700913242009	0	1	22.3333333333333	0
51	41	22	1	16.7086757990868	0	1	28.9166666666667	0
55	43	40	0	15.6417808219178	0	1	23	0
64	40	22	1	16.4954337899543	0	1	24.0833333333333	0
56	41	29	0	16.3616438356164	0	2	21.25	0
77	52	39	1	15.4668949771689	0	1	20.1666666666667	0
60.5999984741211	43.4000015258789	30	1	14.9422374429224	0	1	19.6666666666667	1
61	54	28	1	16.5146118721461	0	3	23.0833333333333	0
62	43	24	0	16.9175799086758	0	1	29.6666666666667	0
55	39	25	1	9.21438356164384	0	1	34	0
56	42	34	0	13.1118721461187	0	1	22.0833333333333	0
63	41	28	1	13.1392694063927	0	2	26.0833333333333	0
78	58	43	0	18.4844748858448	0	3	33.0833333333333	0
57	43	27	1	16.4203196347032	0	1	28.1666666666667	0
69	44	31	0	12.8947488584475	0	2	31.3333333333333	0
56	40	24	0	13.4805936073059	0	2	23.1666666666667	0
67	41	23	1	10.3837899543379	0	1	38.8333333333333	0
72	41	30	0	14.6061643835616	0	3	25	0
70	43	30	0	10.0422374429224	0	3	28.1666666666667	0
64	39	22	0	12.0477168949772	0	1	31.1666666666667	0
95	60	41	1	12.6417808219178	0	1	24	0
73	53	39	0	14.6253424657534	0	2	24	0
66	48	29	1	17.2618721461187	0	1	23.3333333333333	0
56	40	26	0	13.3780821917808	0	1	36.25	0
52	41	24	1	13.7196347031963	0	1	31.9166666666667	0
64	41	32	0	12.8808219178082	0	1	20.75	0
99	47	42	1	16.5584474885845	0	3	22.0833333333333	0
69	39	30	0	10.1009132420091	0	1	25.0833333333333	0
62	57	31	0	10.1091324200913	0	1	28.0833333333333	0
65	42	22	1	12.4369863013699	0	1	25.75	0
66	55	28	0	10.1732876712329	0	2	26	0
103	43	33	1	10.5586757990868	0	1	28.6666666666667	0
72	40	24	0	16.8397260273973	0	1	32.75	0
78	46	37	1	12.8808219178082	0	1	27.75	0
55	42	28	0	16.8232876712329	0	1	28.75	0
62	41.7999992370606	31.3400001525879	0	15.7755707762557	0	1	25.8333333333333	0
65	40	28	0	17.8029680365297	1	1	43.8333333333333	0
51	43	32	0	17.9899543378995	0	2	41.5833333333333	0
62	45	29	1	10.8810502283105	0	1	26.3333333333333	0
85	42	39	1	11.3563926940639	0	1	25.8333333333333	0
65	40	25	1	13.0611872146119	0	1	25.5833333333333	0
54	40	22	0	17.5979452054795	0	1	37	0
64	44	35	0	17.0255707762557	0	2	27.5833333333333	0
62	42	23	1	18.0557077625571	0	2	27.5833333333333	0
60	40	25	0	17.7728310502283	1	1	26.8333333333333	0
61	41	23	1	9.91118721461187	0	2	18.3333333333333	0
59	45	27	1	11.7034246575342	0	1	24.5	0
59	42	26	1	18.4367579908676	0	1	22.1666666666667	0
80	46	32	1	14.9449771689498	0	1	26.6666666666667	0
61	44	27	0	16.0924657534247	0	2	33.5	0
62	45	28	1	15.1171232876712	0	3	42.5	0
85	53	31	0	17.6922374429224	1	3	23	0
58	41	29	1	15.8506849315069	0	1	37.75	0
96	40	38	0	15.4614155251142	0	1	27.1666666666667	0
60	43	26	1	13.189497716895	0	1	30.4166666666667	1
61	45	30	0	12.6840182648402	0	1	20	0
64	41	24	1	9.29223744292237	0	1	25	0
60	43	34	1	16.5420091324201	1	2	31.0833333333333	1
52	40	23	0	18.358904109589	0	1	30.25	0
90	55	32	1	9.75114155251141	0	3	27.4166666666667	0
87	44	28	1	11.3646118721461	0	1	34.8333333333333	0
70	45	24	1	13.0504566210046	0	1	23.1666666666667	0
61	42	22	1	15.0118721461187	0	2	22.5833333333333	0
61	45	28	1	14.9230593607306	1	2	38.6666666666667	0
67	47	35	0	18.1812785388128	0	2	22.4166666666667	0
73	43	23	1	15.4723744292237	0	3	24.1666666666667	0
87	47	35	0	14.3972602739726	0	3	34.25	0
63	40	28	0	13.8029680365297	0	1	29.8333333333333	0
66	48	24	1	15.9559360730594	1	3	32.6666666666667	0
85	50	34	1	15.2454337899543	0	2	27.3333333333333	0
77	40	31	0	15.8698630136986	0	2	21.75	0
75	42	28	1	12.9312785388128	0	3	22.6666666666667	0
62	43	29	0	15.3232876712329	0	1	20.25	0
61	39	24	0	13.1949771689498	0	1	18.4166666666667	0
75	50	22	1	13.6840182648402	0	3	18	0
78	44	38	0	12.7308219178082	0	2	20	0
68	40	33	0	11.9084474885845	0	1	28.3333333333333	0
54	39	28	0	17.7344748858448	1	1	38.8333333333333	1
69	41	25	1	14.6922374429224	0	1	27.9166666666667	0
72	44	27	1	14.2728310502283	0	1	21.3333333333333	0
71	47	33	1	11.7675799086758	0	2	19	0
55	40	24	0	12.8673515981735	0	1	30.3333333333333	0
54	39	24	1	12.5705479452055	0	3	29	0
59	51	28	1	18.0255707762557	1	2	23.5833333333333	0
65	41	33	0	14.3315068493151	0	1	31.25	0
60	40	31	0	13.689497716895	0	1	24	0
89	54	24	1	17.0255707762557	0	1	28.5833333333333	0
64	49	27	1	12.5038812785388	0	1	18.6666666666667	0
61	40	26	0	12.0723744292237	0	1	23.1666666666667	0
82	41	33	0	16.2892694063927	0	1	22.3333333333333	0
78	59	32	1	12.5760273972603	0	1	24	1
74	45	28	0	16.9954337899543	0	1	35.5833333333333	0
58	49	28	1	14.1061643835616	0	1	21.5	0
65	43	32	0	16.0639269406393	0	3	22.5833333333333	0
67	42	27	1	17.6335616438356	1	3	30	1
68	45	26	0	10.9890410958904	0	1	18.25	0
82	44	27	0	11.0954337899543	0	2	35.0833333333333	0
74	45	29	0	15.3232876712329	0	1	18.25	0
60	41	23	0	16.175799086758	0	1	26.4166666666667	0
99	56	33	1	10.1146118721461	0	1	19.0833333333333	0
69	43	32	1	9.2445205479452	0	1	28	0
74	41	34	1	11.0778538812785	0	1	23	0
62	41	27	0	12.8673515981735	0	2	25.3333333333333	0
69	50	34	0	14.2086757990868	0	1	24.4166666666667	1
71	47	33	0	17.9926940639269	0	1	23.5833333333333	1
72	40	29	1	13.0118721461187	0	1	24.5833333333333	0
59	41	24	1	17.886301369863	0	2	30.75	0
75	57	33	1	14.9422374429224	0	1	22.6666666666667	1
88	53	35	1	13.5529680365297	0	1	28.0833333333333	0
87	54	40	0	15.5036529680365	0	1	24.0833333333333	1
54	40	22	0	16.6538812785388	1	3	25.9166666666667	0
68	44	26	1	9.94520547945205	0	1	30.25	0
88	49	26	1	12.972602739726	0	3	21.25	0
53	39	27	0	12.5285388127854	0	3	17.6666666666667	0
56	40	25	1	10.1842465753425	0	1	28	0
73	54	37	0	15.689497716895	0	1	26	1
89	63	43	1	14.6922374429224	0	2	27.9166666666667	0
70	47	30	1	18.1593607305936	0	1	32.4166666666667	0
71	41	23	0	12.722602739726	0	1	20.5	0
91	45	33	1	12.4111872146119	0	1	22.8333333333333	0
61	39	24	1	15.8835616438356	0	1	27.75	0
59	42	25	0	18.0091324200913	0	1	18.5833333333333	0
96	41	31	1	9.27579908675798	0	2	24.9166666666667	0
76	40	31	0	9.28949771689497	0	1	25.9166666666667	0
56	41	22	1	9.32785388127852	0	1	31.9166666666667	1
65	47	34	1	11.458904109589	0	1	21.75	0
60	42	23	0	12.248401826484	0	2	26.9166666666667	0
58	47	23	1	13.1255707762557	0	3	17.0833333333333	0
79	45	36	0	11.8646118721461	0	1	21.3333333333333	1
75	56	28	1	11.3114155251142	0	1	17.9166666666667	0
82	39	25	1	13.0805936073059	0	3	37.1666666666667	0
97	53	43.4000015258789	1	18.0255707762557	0	1	26.5833333333333	0
62	43	25	1	17.7810502283105	0	2	14.8333333333333	1
73	50	27	1	14.0392694063927	0	3	27.5833333333333	0
61	48	25	1	15.108904109589	1	1	18.5	1
75	57	33	1	13.939497716895	0	1	19.6666666666667	0
63	40	27	1	13.2755707762557	0	3	39.3333333333333	0
102	56	41	1	14.4038812785388	0	3	20.1666666666667	0
61	41	29	0	13.0614155251142	0	3	24.1666666666667	0
79	49	37	0	12.5899543378995	0	1	23.5833333333333	0
98	45	29	1	12.0285388127854	0	1	28.1666666666667	0
66	40	22	0	10.9835616438356	0	1	28.25	0
91	53	32	1	13.9751141552511	0	1	18.6666666666667	0
66	54	28	1	13.7305936073059	0	1	24.9166666666667	0
60	39	23	0	12.675799086758	0	1	25.9166666666667	0
62	40	28	0	13.9175799086758	0	1	17.6666666666667	0
77	55	36	1	17.8342465753425	0	1	20.75	0
81	42	27	1	17.8452054794521	0	1	20.75	0
56	41	28	0	15.358904109589	0	1	26.25	0
107	42	27	1	9.33721461187215	0	1	27.8333333333333	0
80.1999969482422	43.4000015258789	27.3199996948242	1	9.62557077625571	0	1	28.5833333333333	0
68	40	24	0	9.38105022831051	0	1	27	0
52	39	22	0	12.498401826484	0	1	28.6666666666667	0
57	41	27	0	12.998401826484	0	2	22.1666666666667	0
52	39	24	0	11.0899543378995	0	1	31.0833333333333	0
78	50	32	1	11.025799086758	0	1	27.1666666666667	0
57	41	22	1	12.4029680365297	0	1	23.8333333333333	0
66	44	34	1	17.2646118721461	0	1	19.3333333333333	0
94	55	51	0	17.7004566210046	0	2	30.9166666666667	0
57	42	31	0	14.2481735159817	0	1	25.3333333333333	0
55	49	23	1	15.3029680365297	0	2	25.3333333333333	0
62	42	40	0	13.703196347032	0	1	23.9166666666667	0
67	44	29	0	15.2344748858448	0	1	35.3333333333333	0
67	40	25	0	14.4981735159817	0	1	20.0833333333333	0
55	41	23	0	12.7114155251142	0	1	32	0
102	49	31	1	13.8369863013699	0	1	21.75	0
89	50	33	1	10.8059360730594	0	1	24.4166666666667	0
58	41	26	0	12.4698630136986	0	2	27.75	0
80	43	32	1	11.5148401826484	0	1	16.6666666666667	0
60	40	22	0	13.4422374429224	0	1	19.1666666666667	0
79	50	29	0	17.5255707762557	0	2	23.0833333333333	0
71	46	30	1	12.6977168949772	0	3	21	0
54	39	22	0	9.43972602739725	0	1	24.75	0
94	45	24	1	15.6977168949772	0	1	17.9166666666667	0
58	40	23	0	12.6678082191781	0	1	21.5	0
99	64	47	1	14.7755707762557	0	1	37.8333333333333	0
77	43	27	0	15.8917808219178	0	2	29	0
60	43	26	1	16.5009132420091	0	2	32.0833333333333	0
63	40	24	0	14.7004566210046	0	1	18.9166666666667	0
56	40	23	0	12.7004566210046	0	1	26.9166666666667	0
62	43.4000015258789	28.6599998474121	1	13.8342465753425	0	1	30.75	0
123	57	48	1	12.3223744292237	0	1	27.9166666666667	1
70	44	35	0	12.1732876712329	1	1	19	0
54	41	26	0	18.1840182648402	1	3	43.4166666666667	1
68	58	35	0	17.7755707762557	0	1	33.8333333333333	0
71	40	25	0	14.9422374429224	0	2	32.6666666666667	1
78	41	28	1	12.0422374429224	0	1	26.1666666666667	0
61	40	32	1	17.6511415525114	1	3	21.9166666666667	0
98	56	44	1	12.2867579908676	1	3	16.9166666666667	0
97	49	29	1	10.5203196347032	0	2	20.6666666666667	0
61	40	24	0	10.7730593607306	0	1	22.4166666666667	0
95	64	40	1	14.2278538812785	0	3	20.4166666666667	0
84	46	43	1	12.8591324200913	0	1	30.3333333333333	0
57	41	30	0	12.4315068493151	1	3	17.75	0
65	50	41	0	14.1538812785388	1	1	26.4166666666667	0
71	50	28	0	12.9641552511415	1	1	23.6666666666667	1
88	43	37	0	10.1255707762557	0	1	35.0833333333333	0
91	46	35	0	10.7812785388128	0	1	17.4166666666667	0
53	40	24	0	12.9205479452055	1	1	35.25	1
84	48	27	1	11.0011415525114	0	1	24.1666666666667	0
84	44	38	1	10.6897260273973	0	1	27.5	0
72	52	29	1	14.622602739726	0	3	43	0
69	44	27	1	17.7974885844749	0	3	16.8333333333333	0
101	76	46	0	13.7141552511415	0	1	28.9166666666667	0
78.8000030517578	46.5999984741211	28.6599998474121	1	14.4422374429224	0	1	22.1666666666667	0
58	49	32	0	15.2974885844749	0	2	22.3333333333333	0
85	41	26	1	9.74840182648401	0	1	24.4166666666667	0
62	44	28	0	11.472602739726	0	3	19.75	0
60	42	32	0	12.1787671232877	0	3	23	0
51	41	23	1	17.7618721461187	0	1	34.8333333333333	0
89	45	33	0	13.9093607305936	0	1	24.6666666666667	0
70.4000015258789	43.4000015258789	24.6399993896484	0	10.9671232876712	0	1	25.25	0
69	49	39	1	12.9369863013699	1	2	21.25	0
58	41	25	0	10.1952054794521	0	1	25	0
60	40	22	0	17.5557077625571	0	1	34.0833333333333	0
98.4000015258789	78.5999984741211	40.7200012207031	0	17.35	1	1	25	0
81	48	34	1	14.4312785388128	0	2	25.1666666666667	0
67.5999984741211	41.7999992370606	28.6599998474121	1	14.85	0	1	15	0
64	41	24	0	15.2783105022831	0	3	29.3333333333333	0
88	44	36	0	16.662100456621	0	1	24.9166666666667	0
69	40	24	0	9.39474885844749	0	1	26.8333333333333	0
97	44	28	1	11.6365296803653	0	1	23.5833333333333	0
61	41	29	0	10.8168949771689	0	1	29.4166666666667	0
78	42	25	1	10.8114155251142	0	1	27.4166666666667	0
98	41	22	0	12.9178082191781	0	1	25.25	0
72	43	29	1	16.5639269406393	0	1	41.0833333333333	0
51	44	23	1	17.1675799086758	0	1	32.4166666666667	0
57	40	27	1	18.0474885844749	0	1	36.5833333333333	0
69	42	33	0	12.3372146118722	0	1	29.8333333333333	0
89	65	43	1	17.5420091324201	0	3	18.0833333333333	1
65	41	28	0	16.3232876712329	0	1	28.25	0
62	53	28	1	14.0200913242009	0	2	26.5833333333333	0
73	50	41	1	16.7646118721461	0	3	26.8333333333333	0
