"Person"	 "Item"	 "Problem"	 "Y"	 "Y.sub1"	 "Y.sub2"	 "Y.sub3"	 "Y.sub4"	 "Y.sub5"	 "Y.sub6"	 "Items"
145	 17	 5	 1	 2	 4	 3	 4	 3	 1	 "Item_17"
146	 17	 5	 1	 2	 3	 4	 3	 4	 0	 "Item_17"
147	 17	 5	 0	 1	 2	 1	 3	 1	 1	 "Item_17"
148	 17	 5	 0	 0	 2	 3	 1	 2	 1	 "Item_17"
149	 17	 5	 0	 1	 2	 3	 2	 1	 0	 "Item_17"
150	 17	 5	 1	 1	 1	 2	 0	 1	 0	 "Item_17"
151	 17	 5	 0	 0	 1	 0	 1	 0	 1	 "Item_17"
152	 17	 5	 1	 0	 1	 1	 0	 1	 1	 "Item_17"
153	 17	 5	 0	 0	 2	 2	 0	 0	 1	 "Item_17"
154	 17	 5	 1	 1	 2	 2	 2	 3	 0	 "Item_17"
155	 17	 5	 1	 0	 2	 3	 2	 2	 0	 "Item_17"
156	 17	 5	 1	 1	 3	 4	 4	 3	 0	 "Item_17"
157	 17	 5	 1	 1	 3	 3	 3	 2	 0	 "Item_17"
158	 17	 5	 1	 1	 2	 2	 2	 3	 1	 "Item_17"
159	 17	 5	 0	 0	 0	 2	 0	 0	 0	 "Item_17"
160	 17	 5	 0	 0	 2	 1	 0	 0	 1	 "Item_17"
161	 17	 5	 1	 1	 2	 2	 4	 3	 0	 "Item_17"
162	 17	 5	 0	 0	 1	 1	 0	 1	 0	 "Item_17"
163	 17	 5	 0	 0	 0	 0	 0	 0	 0	 "Item_17"
164	 17	 5	 1	 2	 4	 2	 3	 4	 1	 "Item_17"
165	 17	 5	 1	 1	 2	 3	 3	 3	 1	 "Item_17"
166	 17	 5	 0	 0	 1	 2	 2	 1	 1	 "Item_17"
167	 17	 5	 1	 1	 3	 3	 2	 3	 0	 "Item_17"
168	 17	 5	 0	 0	 1	 1	 1	 0	 1	 "Item_17"
169	 17	 5	 0	 0	 0	 0	 0	 1	 0	 "Item_17"
170	 17	 5	 0	 1	 3	 3	 0	 1	 1	 "Item_17"
171	 17	 5	 0	 0	 1	 0	 0	 1	 1	 "Item_17"
172	 17	 5	 1	 1	 2	 2	 1	 2	 0	 "Item_17"
173	 17	 5	 1	 1	 2	 3	 3	 3	 0	 "Item_17"
174	 17	 5	 0	 0	 1	 0	 1	 0	 0	 "Item_17"
175	 17	 5	 1	 2	 4	 3	 4	 3	 1	 "Item_17"
176	 17	 5	 0	 0	 0	 0	 0	 0	 0	 "Item_17"
177	 17	 5	 0	 0	 1	 0	 0	 0	 1	 "Item_17"
178	 17	 5	 1	 1	 1	 2	 3	 1	 1	 "Item_17"
179	 17	 5	 1	 3	 4	 3	 4	 3	 1	 "Item_17"
180	 17	 5	 1	 0	 3	 3	 3	 2	 0	 "Item_17"
181	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
182	 17	 5	 0	 0	 1	 1	 2	 2	 1	 "Item_17"
183	 17	 5	 1	 0	 1	 0	 0	 3	 0	 "Item_17"
184	 17	 5	 0	 0	 1	 2	 0	 0	 1	 "Item_17"
185	 17	 5	 1	 0	 3	 3	 3	 3	 0	 "Item_17"
186	 17	 5	 1	 1	 3	 4	 4	 2	 1	 "Item_17"
187	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
188	 17	 5	 1	 1	 1	 1	 3	 3	 1	 "Item_17"
189	 17	 5	 0	 1	 2	 2	 1	 2	 1	 "Item_17"
190	 17	 5	 1	 1	 3	 4	 4	 3	 1	 "Item_17"
191	 17	 5	 0	 0	 1	 0	 2	 1	 1	 "Item_17"
192	 17	 5	 0	 1	 2	 2	 1	 1	 0	 "Item_17"
193	 17	 5	 0	 0	 0	 2	 2	 1	 0	 "Item_17"
194	 17	 5	 0	 0	 1	 1	 0	 1	 0	 "Item_17"
195	 17	 5	 0	 1	 1	 1	 0	 0	 1	 "Item_17"
196	 17	 5	 1	 0	 1	 3	 2	 2	 0	 "Item_17"
197	 17	 5	 0	 0	 1	 2	 1	 1	 1	 "Item_17"
198	 17	 5	 0	 0	 4	 2	 1	 1	 1	 "Item_17"
199	 17	 5	 0	 0	 3	 3	 1	 1	 1	 "Item_17"
200	 17	 5	 1	 0	 3	 2	 1	 2	 1	 "Item_17"
201	 17	 5	 1	 2	 4	 3	 2	 3	 1	 "Item_17"
202	 17	 5	 1	 1	 3	 2	 0	 4	 1	 "Item_17"
203	 17	 5	 1	 0	 1	 3	 2	 3	 0	 "Item_17"
204	 17	 5	 0	 1	 3	 2	 2	 1	 0	 "Item_17"
205	 17	 5	 1	 1	 2	 2	 3	 2	 0	 "Item_17"
206	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
207	 17	 5	 0	 1	 2	 2	 4	 1	 0	 "Item_17"
208	 17	 5	 1	 1	 2	 2	 2	 3	 0	 "Item_17"
209	 17	 5	 0	 2	 2	 2	 1	 2	 0	 "Item_17"
210	 17	 5	 0	 0	 2	 1	 3	 2	 0	 "Item_17"
211	 17	 5	 1	 3	 4	 3	 4	 3	 1	 "Item_17"
212	 17	 5	 0	 2	 3	 2	 4	 2	 1	 "Item_17"
213	 17	 5	 1	 1	 4	 3	 4	 3	 1	 "Item_17"
214	 17	 5	 1	 1	 4	 3	 4	 3	 1	 "Item_17"
215	 17	 5	 1	 0	 2	 3	 3	 2	 1	 "Item_17"
216	 17	 5	 1	 0	 1	 2	 2	 3	 1	 "Item_17"
217	 17	 5	 1	 2	 4	 3	 4	 3	 1	 "Item_17"
218	 17	 5	 1	 1	 1	 3	 2	 4	 1	 "Item_17"
219	 17	 5	 1	 1	 4	 3	 3	 3	 1	 "Item_17"
220	 17	 5	 1	 2	 4	 3	 3	 2	 0	 "Item_17"
221	 17	 5	 1	 1	 2	 2	 3	 3	 0	 "Item_17"
222	 17	 5	 1	 1	 4	 4	 3	 4	 0	 "Item_17"
223	 17	 5	 0	 0	 2	 0	 2	 1	 1	 "Item_17"
224	 17	 5	 0	 2	 3	 2	 1	 1	 0	 "Item_17"
225	 17	 5	 1	 3	 3	 4	 4	 3	 1	 "Item_17"
226	 17	 5	 0	 0	 4	 4	 1	 1	 1	 "Item_17"
227	 17	 5	 0	 1	 1	 3	 3	 1	 0	 "Item_17"
228	 17	 5	 1	 1	 3	 4	 2	 4	 0	 "Item_17"
229	 17	 5	 1	 0	 4	 4	 3	 4	 1	 "Item_17"
230	 17	 5	 0	 1	 3	 3	 4	 1	 1	 "Item_17"
231	 17	 5	 0	 0	 1	 0	 0	 0	 1	 "Item_17"
232	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
233	 17	 5	 1	 0	 2	 2	 2	 2	 1	 "Item_17"
234	 17	 5	 0	 0	 1	 2	 0	 0	 1	 "Item_17"
235	 17	 5	 1	 0	 3	 2	 3	 3	 0	 "Item_17"
236	 17	 5	 1	 0	 1	 2	 2	 2	 0	 "Item_17"
237	 17	 5	 1	 0	 4	 1	 2	 3	 1	 "Item_17"
238	 17	 5	 1	 2	 4	 3	 4	 3	 0	 "Item_17"
239	 17	 5	 0	 0	 1	 1	 1	 2	 1	 "Item_17"
240	 17	 5	 1	 1	 3	 3	 3	 3	 0	 "Item_17"
241	 17	 5	 1	 1	 3	 3	 4	 3	 1	 "Item_17"
242	 17	 5	 0	 2	 2	 2	 2	 1	 0	 "Item_17"
243	 17	 5	 0	 0	 1	 2	 1	 1	 1	 "Item_17"
244	 17	 5	 0	 0	 1	 1	 2	 0	 0	 "Item_17"
245	 17	 5	 1	 1	 4	 3	 2	 4	 0	 "Item_17"
246	 17	 5	 1	 1	 4	 4	 4	 3	 1	 "Item_17"
247	 17	 5	 0	 0	 1	 0	 1	 0	 1	 "Item_17"
248	 17	 5	 1	 3	 4	 3	 4	 3	 0	 "Item_17"
249	 17	 5	 1	 3	 4	 3	 4	 3	 0	 "Item_17"
250	 17	 5	 1	 2	 4	 4	 4	 4	 1	 "Item_17"
251	 17	 5	 1	 1	 3	 1	 3	 2	 1	 "Item_17"
252	 17	 5	 0	 1	 2	 1	 2	 0	 0	 "Item_17"
253	 17	 5	 1	 1	 4	 3	 3	 2	 0	 "Item_17"
254	 17	 5	 1	 2	 3	 1	 1	 2	 1	 "Item_17"
255	 17	 5	 0	 0	 1	 2	 2	 0	 0	 "Item_17"
256	 17	 5	 0	 0	 1	 0	 1	 1	 0	 "Item_17"
257	 17	 5	 1	 2	 4	 3	 4	 4	 0	 "Item_17"
258	 17	 5	 0	 0	 1	 2	 3	 2	 0	 "Item_17"
259	 17	 5	 1	 4	 4	 4	 4	 4	 1	 "Item_17"
260	 17	 5	 1	 0	 3	 2	 2	 2	 1	 "Item_17"
261	 17	 5	 1	 2	 3	 2	 4	 4	 1	 "Item_17"
262	 17	 5	 1	 0	 1	 3	 4	 3	 0	 "Item_17"
263	 17	 5	 1	 2	 3	 3	 4	 3	 1	 "Item_17"
264	 17	 5	 0	 0	 1	 1	 1	 0	 1	 "Item_17"
265	 17	 5	 1	 1	 3	 3	 3	 4	 1	 "Item_17"
266	 17	 5	 1	 1	 1	 2	 2	 2	 0	 "Item_17"
267	 17	 5	 0	 1	 2	 1	 3	 2	 0	 "Item_17"
268	 17	 5	 0	 2	 3	 4	 4	 2	 1	 "Item_17"
269	 17	 5	 1	 0	 2	 0	 1	 1	 0	 "Item_17"
270	 17	 5	 0	 0	 1	 1	 0	 0	 0	 "Item_17"
271	 17	 5	 1	 3	 4	 3	 3	 3	 1	 "Item_17"
272	 17	 5	 0	 0	 1	 2	 1	 1	 0	 "Item_17"
273	 17	 5	 1	 1	 4	 3	 4	 2	 1	 "Item_17"
274	 17	 5	 1	 1	 2	 3	 4	 4	 0	 "Item_17"
275	 17	 5	 1	 1	 2	 3	 3	 2	 0	 "Item_17"
276	 17	 5	 0	 0	 3	 2	 2	 0	 1	 "Item_17"
277	 17	 5	 0	 0	 2	 2	 1	 1	 1	 "Item_17"
278	 17	 5	 1	 0	 0	 0	 0	 2	 0	 "Item_17"
279	 17	 5	 0	 0	 0	 1	 0	 0	 0	 "Item_17"
280	 17	 5	 1	 3	 3	 3	 1	 3	 0	 "Item_17"
281	 17	 5	 1	 0	 2	 3	 3	 4	 0	 "Item_17"
282	 17	 5	 0	 0	 2	 0	 1	 0	 1	 "Item_17"
283	 17	 5	 0	 0	 0	 0	 0	 0	 0	 "Item_17"
284	 17	 5	 0	 0	 1	 1	 0	 1	 0	 "Item_17"
285	 17	 5	 1	 1	 3	 3	 3	 3	 1	 "Item_17"
286	 17	 5	 1	 1	 1	 2	 1	 2	 1	 "Item_17"
287	 17	 5	 1	 2	 3	 1	 4	 4	 0	 "Item_17"
288	 17	 5	 1	 0	 2	 3	 1	 3	 0	 "Item_17"
289	 17	 5	 0	 1	 2	 3	 2	 2	 0	 "Item_17"
290	 17	 5	 0	 0	 1	 1	 1	 1	 1	 "Item_17"
291	 17	 5	 1	 2	 2	 3	 4	 4	 1	 "Item_17"
292	 17	 5	 0	 1	 3	 2	 3	 1	 1	 "Item_17"
293	 17	 5	 0	 1	 1	 2	 0	 1	 0	 "Item_17"
294	 17	 5	 1	 2	 3	 3	 3	 4	 0	 "Item_17"
295	 17	 5	 0	 0	 1	 1	 1	 2	 1	 "Item_17"
296	 17	 5	 1	 1	 3	 3	 2	 4	 0	 "Item_17"
297	 17	 5	 1	 3	 4	 4	 4	 4	 0	 "Item_17"
298	 17	 5	 1	 0	 1	 2	 2	 3	 0	 "Item_17"
299	 17	 5	 1	 1	 3	 1	 2	 2	 0	 "Item_17"
300	 17	 5	 0	 0	 2	 2	 3	 1	 1	 "Item_17"
301	 17	 5	 1	 0	 2	 3	 4	 2	 0	 "Item_17"
302	 17	 5	 1	 2	 2	 2	 2	 2	 0	 "Item_17"
303	 17	 5	 1	 0	 1	 3	 1	 3	 0	 "Item_17"
304	 17	 5	 0	 0	 1	 3	 2	 0	 0	 "Item_17"
305	 17	 5	 1	 1	 3	 3	 4	 3	 1	 "Item_17"
306	 17	 5	 1	 2	 3	 3	 4	 3	 1	 "Item_17"
307	 17	 5	 0	 2	 1	 1	 1	 1	 1	 "Item_17"
308	 17	 5	 0	 0	 3	 2	 2	 1	 1	 "Item_17"
309	 17	 5	 1	 1	 4	 4	 3	 4	 1	 "Item_17"
310	 17	 5	 0	 2	 2	 1	 1	 2	 0	 "Item_17"
311	 17	 5	 1	 0	 2	 3	 2	 2	 1	 "Item_17"
312	 17	 5	 1	 1	 4	 3	 4	 4	 0	 "Item_17"
313	 17	 5	 1	 2	 3	 3	 4	 4	 1	 "Item_17"
314	 17	 5	 0	 1	 2	 0	 2	 2	 0	 "Item_17"
315	 17	 5	 1	 1	 3	 3	 3	 3	 0	 "Item_17"
316	 17	 5	 1	 1	 2	 1	 4	 4	 0	 "Item_17"
317	 17	 5	 1	 0	 2	 1	 2	 2	 0	 "Item_17"
318	 17	 5	 1	 2	 3	 3	 3	 3	 1	 "Item_17"
319	 17	 5	 0	 1	 4	 4	 4	 2	 1	 "Item_17"
320	 17	 5	 0	 0	 4	 2	 3	 2	 0	 "Item_17"
321	 17	 5	 0	 1	 2	 1	 3	 2	 1	 "Item_17"
322	 17	 5	 0	 0	 1	 1	 2	 1	 0	 "Item_17"
323	 17	 5	 1	 0	 4	 2	 2	 3	 1	 "Item_17"
324	 17	 5	 1	 0	 2	 0	 0	 2	 0	 "Item_17"
325	 17	 5	 1	 1	 1	 2	 2	 2	 0	 "Item_17"
326	 17	 5	 1	 2	 4	 4	 4	 4	 1	 "Item_17"
327	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
328	 17	 5	 1	 1	 2	 2	 2	 3	 1	 "Item_17"
329	 17	 5	 0	 0	 3	 2	 2	 0	 0	 "Item_17"
330	 17	 5	 1	 0	 3	 2	 3	 2	 0	 "Item_17"
331	 17	 5	 1	 3	 4	 4	 4	 3	 1	 "Item_17"
332	 17	 5	 1	 0	 2	 3	 2	 2	 1	 "Item_17"
333	 17	 5	 1	 0	 4	 3	 4	 3	 0	 "Item_17"
334	 17	 5	 1	 1	 2	 1	 2	 3	 1	 "Item_17"
335	 17	 5	 0	 0	 0	 1	 0	 0	 0	 "Item_17"
336	 17	 5	 1	 1	 3	 2	 2	 3	 0	 "Item_17"
337	 17	 5	 0	 0	 2	 1	 3	 1	 1	 "Item_17"
338	 17	 5	 0	 0	 0	 0	 0	 1	 0	 "Item_17"
339	 17	 5	 1	 1	 3	 3	 3	 3	 1	 "Item_17"
340	 17	 5	 0	 1	 2	 1	 2	 3	 1	 "Item_17"
341	 17	 5	 1	 1	 4	 3	 1	 4	 1	 "Item_17"
342	 17	 5	 0	 1	 2	 3	 2	 0	 1	 "Item_17"
343	 17	 5	 1	 2	 4	 2	 4	 4	 0	 "Item_17"
344	 17	 5	 1	 2	 4	 3	 4	 4	 0	 "Item_17"
345	 17	 5	 0	 0	 1	 0	 0	 1	 1	 "Item_17"
346	 17	 5	 1	 1	 3	 2	 3	 3	 0	 "Item_17"
347	 17	 5	 1	 2	 4	 2	 4	 3	 0	 "Item_17"
348	 17	 5	 1	 0	 2	 0	 2	 3	 0	 "Item_17"
349	 17	 5	 0	 0	 0	 0	 0	 0	 1	 "Item_17"
350	 17	 5	 1	 0	 3	 1	 3	 4	 0	 "Item_17"
351	 17	 5	 1	 1	 4	 3	 4	 4	 1	 "Item_17"
352	 17	 5	 1	 1	 1	 2	 2	 3	 0	 "Item_17"
353	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
354	 17	 5	 0	 2	 4	 3	 4	 2	 0	 "Item_17"
355	 17	 5	 0	 0	 4	 2	 2	 2	 1	 "Item_17"
356	 17	 5	 1	 2	 3	 3	 4	 4	 0	 "Item_17"
357	 17	 5	 0	 1	 1	 3	 2	 2	 0	 "Item_17"
358	 17	 5	 1	 1	 3	 3	 3	 3	 0	 "Item_17"
359	 17	 5	 0	 0	 4	 3	 4	 2	 0	 "Item_17"
360	 17	 5	 1	 2	 4	 4	 3	 3	 1	 "Item_17"
361	 17	 5	 1	 1	 2	 2	 1	 2	 0	 "Item_17"
362	 17	 5	 1	 1	 2	 3	 2	 2	 0	 "Item_17"
363	 17	 5	 1	 1	 4	 3	 3	 3	 1	 "Item_17"
364	 17	 5	 1	 1	 2	 2	 3	 2	 1	 "Item_17"
365	 17	 5	 0	 1	 2	 2	 0	 1	 1	 "Item_17"
366	 17	 5	 1	 2	 4	 3	 4	 3	 0	 "Item_17"
367	 17	 5	 1	 2	 4	 2	 3	 4	 1	 "Item_17"
368	 17	 5	 1	 2	 3	 2	 2	 4	 1	 "Item_17"
369	 17	 5	 1	 0	 1	 1	 3	 3	 0	 "Item_17"
370	 17	 5	 1	 1	 4	 2	 1	 1	 1	 "Item_17"
371	 17	 5	 1	 2	 4	 3	 3	 1	 0	 "Item_17"
372	 17	 5	 1	 1	 2	 2	 4	 3	 0	 "Item_17"
373	 17	 5	 1	 1	 4	 3	 2	 1	 0	 "Item_17"
