GROUP	TIMEO	TIMEC
2	7.0822031885368	7.0822031885368
1	9.18787178800211	9.18787178800211
1	2.66199537127142	2.66199537127142
2	1.18135857836939	1.18135857836939
2	2.7636883775445	2.7636883775445
2	1.41212989850608	1.41212989850608
1	9.17110998356693	9.17110998356693
2	10	 
1	.835884882016627	.835884882016627
1	.856052392491523	.856052392491523
2	10	 
2	10	 
2	1.23751991303035	1.23751991303035
2	10	 
1	6.74667962172944	6.74667962172944
1	9.38078736074236	9.38078736074236
1	.903416189708098	.903416189708098
1	10	 
2	.78721943876106	.78721943876106
2	2.75242255153547	2.75242255153547
1	6.94271920902783	6.94271920902783
2	2.43009945212647	2.43009945212647
1	.742769496911822	.742769496911822
1	7.18159124438388	7.18159124438388
1	9.24650285131051	9.24650285131051
1	10	 
1	3.18405277189979	3.18405277189979
1	6.73693266139016	6.73693266139016
1	10	 
2	4.13557378317386	4.13557378317386
2	1.07572904539724	1.07572904539724
1	9.55572636802452	9.55572636802452
1	7.17704647878052	7.17704647878052
1	9.55633373959605	9.55633373959605
1	10	 
1	.521677442851692	.521677442851692
2	2.75104006490849	2.75104006490849
1	9.21373143476686	9.21373143476686
1	9.15104200420066	9.15104200420066
2	1.62914781708616	1.62914781708616
1	.357611065046577	.357611065046577
1	10	 
2	1.0948066734967	1.0948066734967
2	1.18867602983221	1.18867602983221
2	.92062614344413	.92062614344413
2	7.06154491239827	7.06154491239827
2	7.1001055301905	7.1001055301905
1	10	 
2	7.65288333664482	7.65288333664482
2	1.34140179980121	1.34140179980121
2	1.26889272270196	1.26889272270196
2	1.64063156246591	1.64063156246591
2	1.31747742519026	1.31747742519026
2	2.45219888266283	2.45219888266283
2	9.91052275872853	9.91052275872853
2	1.79615485934483	1.79615485934483
2	.573844891156851	.573844891156851
1	3.56389389068573	3.56389389068573
1	10	 
1	10	 
2	9.12666031235459	9.12666031235459
1	6.49307130509927	6.49307130509927
1	9.25586857766514	9.25586857766514
1	.643335463734255	.643335463734255
1	7.34751521294358	7.34751521294358
2	1.24097577158691	1.24097577158691
1	.833059816647286	.833059816647286
1	2.93360603177594	2.93360603177594
2	10	 
2	1.76937372876948	1.76937372876948
1	6.39064168066943	6.39064168066943
1	.390512813731414	.390512813731414
2	2.78557930858386	2.78557930858386
2	.694057623961774	.694057623961774
1	10	 
2	4.00345655733875	4.00345655733875
1	10	 
1	.438686113498765	.438686113498765
2	1.87597754391313	1.87597754391313
2	1.00200960244869	1.00200960244869
2	2.29975826487301	2.29975826487301
1	6.40072387340599	6.40072387340599
1	10	 
2	8.12558350224944	8.12558350224944
1	10	 
2	7.07870888211658	7.07870888211658
1	2.63450782541879	2.63450782541879
2	9.11917016674615	9.11917016674615
2	10	 
2	.811887768340437	.811887768340437
2	3.19095645234988	3.19095645234988
2	8.69449004084988	8.69449004084988
2	1.38511533653037	1.38511533653037
2	2.31691967808051	2.31691967808051
2	.80585852333826	.80585852333826
1	10	 
2	.831937921423927	.831937921423927
2	9.13814620794678	9.13814620794678
1	1.15003536822341	1.15003536822341
2	1.50552458775213	1.50552458775213
2	1.81282574955368	1.81282574955368
1	6.71402528009697	6.71402528009697
