RPERF2	RPERF1	SYMPT1	SYMPT2	EXPER1	EXPER1_5	EXPER2
65.10030276	58.98838253	44.581251063	66.076717796	57.382713697	39.841505109	78.586842026
41.841928101	11.879550556	28.135010256	55.037418398	27.211437481	17.643092142	31.109368373
33.216994624	29.549212176	34.326960757	45.833333423	2.082280411	1.372092733	11.661903186
41.573402052	45.141302498	43.884152009	50.313013388	49.846340256	71.72381518	48.181234215
38.267129571	61.143003782	61.880192687	46.430906901	44.970771268	53.374034912	52.386330729
46.079769724	19.086292524	36.988568138	40.155140261	48.557192077	42.731795205	31.425304547
73.659006045	63.142043286	73.607902676	73.818976671	68.37927903	54.260307105	72.13762398
45.872362031	57.454920391	63.325239179	55.283172537	43.781049066	35.146556453	44.850420237
52.678992208	42.473841724	46.179774358	55.322369064	66.898786441	72.777859772	58.020838619
44.513754594	45.070857796	79.749018588	60.499425502	33.398447789	68.617397644	89.644622827
65.300079521	70.945452306	79.58597872	77.053335154	61.69283259	94.14732941	24.837223222
52.53074426	69.387821331	43.6656017	59.651932872	73.55417329	47.491716985	51.717765352
47.956496001	47.245912076	34.500220563	52.341875635	46.631314781	75.50597629	36.619520993
34.353108266	48.488807954	28.557287045	63.323807296	10.275831665	18.889794376	7.801023409
61.657783563	72.510418206	81.496634061	46.817911282	86.876407025	77.443709191	75.998849834
30.807512455	44.70158727	27.134450968	31.873703536	5.588169784	11.226565096	22.787040479
43.555153028	52.956357048	27.877407237	47.975678624	32.768454946	30.806320956	6.042659268
65.343140728	48.169688021	41.429575574	54.709665815	16.320912241	53.070901529	47.34905027
29.319355193	55.303656324	62.497421661	31.01601084	11.53309588	70.412910997	33.69753057
76.395920194	63.475550352	38.377059487	44.529846635	93.587805433	66.988531508	63.81362783
40.7321985	36.902426587	45.132980127	46.434794603	32.333164472	8.077641433	34.534899535
77.242840809	63.190543974	34.006597207	56.880259591	37.790997043	97.157489231	57.235466614
60.840620685	55.203707881	58.586631351	50.924576033	73.08803647	55.451438374	70.260203171
56.912985301	65.753769162	58.918843164	69.013572374	58.097378347	63.718113823	50.007032786
39.34635357	31.914722635	54.565512335	49.94995181	50.724242467	30.128825175	49.38213296
76.388214443	81.604806277	69.362526626	58.924103997	58.133503134	86.712924706	97.2
35.417762198	10.055378643	5.46987436	18.577151814	0	4.957068539	60.203191487
67.292532809	37.476029849	4.508064003	33.834005969	8.970388164	36.629641112	66.520106787
56.85986562	44.334817303	43.163776253	53.210661218	55.696688226	71.352298493	56.549202733
22.191910819	13.854366318	55.301459515	60.888039672	20.995409208	20.902846573	85.385116044
25.678241862	30.029820325	49.67050416	39.311310897	23.287905922	37.034144558	43.777571113
13.602226728	22.929555554	34.724497829	37.723909465	13.031717026	27.02120756	4.99021809
18.524758104	29.405107664	64.171188021	61.357434443	88.770202052	7	31.35291136
54.658271996	66.392229119	47.329804155	27.89721226	53.934685041	56.220072422	54.126716766
33.138435893	28.812137111	9.370463267	37.439117234	19.681431484	42.199036097	27.80473746
45.79968624	38.041900522	61.539351801	42.280165068	66.540503208	40.225571057	50.189957676
31.617763509	51.902559877	29.854531027	32.379242101	49.171184357	37.444446309	8.093762679
33.60385753	40.673888944	84.844413429	55.384100432	81.264756413	65.970970136	76.271243248
71.788485111	37.542317307	45.690933697	74.336199495	26.563110534	61.233832927	80.367334611
24.790242196	37.782810705	38.988915136	52.825169921	11.179651971	22.273595074	34.945396508
50.130089731	37.167874443	43.719518108	56.401493701	57.854415191	76.948863926	57.016049038
38.445541572	67.030329858	79.101162671	43.43403608	43.989172991	58.251240375	64.014730069
39.949733679	25.953497907	25.678244796	39.359002188	27.861201364	52.844742371	50.109596232
57.057060765	37.195019232	52.776405898	67.194567769	35.046959224	76.965910112	65.802563606
59.950923771	47.529815897	35.377580217	34.447541394	56.729652897	32.611105274	28.368242008
46.589495028	69.396871197	62.38380978	65.370545502	94.947856892	53.490029238	60.22497349
35.786752035	36.403745385	59.722547717	46.212297486	58.185297188	37.635072808	64.482997512
83.458907429	44.713484034	35.57520017	62.926922972	61.043256602	36.184624765	74.956716998
43.568426104	50.534169466	46.713278877	55.992700105	58.071063952	38.892367364	25.918744122
46.174644356	63.634149535	50.284285856	50.22750578	55.359681759	72.615227975	79.003486878
20.206962773	3	42.381930995	65.924228381	9.554590244	26.431709832	6.23713605
47.663053012	22.861843012	15.577613845	56.606641282	32.486757994	31.392202516	24.885345666
50.614890777	45.819824196	60.363921641	61.784680405	14.01189522	17.282147599	69.930949482
85.05886778	51.262175512	59.444292377	37.805827215	61.799319774	75.652681863	74.894019408
16.670230163	32.704411533	38.541117286	35.252442971	28.394146798	48.555368368	25.027008788
34.42613428	25.473101029	12.042641782	20.723314086	4.423374399	36.323210035	30.671845146
57.647486108	61.4917574	59.249216519	51.55100149	42.973684172	60.252576387	81.225898379
20.019376122	44.925391151	49.855942535	42.175290086	16.260493423	.248661984	41.461690259
20.242041167	12.48582429	36.424528973	44.294337514	0	1	2.847834644
104.164610236	120.047806274	93.682535518	57.526423257	95.5	100	98
47.612356539	41.101680981	51.433800006	47.09050174	23.843985977	75.257592062	50.240503496
84.147383406	86.128592607	53.337999808	56.598696832	49.118928603	99.176153379	54.187025585
34.065051932	64.71704118	12.90298775	19.048544378	16.43379807	60.491519294	53.096025374
62.396929094	43.418745691	61.016994405	59.568264881	75.336663954	81.907359364	75.787929451
44.348716493	59.134718832	26.273802721	55.454750203	30.446022262	52.379788576	32.340761156
11.973432372	5.835604426	22.784394743	43.175464396	35.576892752	41.155374891	12.565731674
47.22483445	40.292433577	40.729671492	50.049688079	18.293537605	36.336746339	15.511621653
45.384147648	48.841370127	62.240042278	59.255874633	84.457709769	55.907257411	94.598763108
38.268792284	48.804927439	35.727947433	22.648949247	17.079289694	38.076200093	24.531367605
47.739344972	54.28017856	36.799138069	48.284878634	56.858446393	25.961834127	25.078218218
77.210964641	92.625055822	66.416407323	61.594751217	56.010075681	75.027050075	58.649191592
51.684212721	50.367927365	64.534409344	64.045398619	59.056759728	32.368686606	51.472889928
65.47794567	76.456166679	33.817712907	53.682029598	94.480946045	35.792920344	45.211458559
51.537465146	47.631817312	62.76484034	38.771780588	86.909932715	51.673377216	32.605696516
46.354674422	45.344988424	41.995062952	53.399743211	25.90721676	35.135506523	56.315713316
84.843189093	71.167478817	61.886770156	49.605903603	96.977452549	57.57568397	84.87891822
59.535528778	36.060419053	42.321227425	38.89477531	41.652424029	25.08904027	61.295194236
53.427707277	32.877770929	40.936134003	63.108683446	20.621420915	55.233484929	57.36924463
35.306092006	56.25601498	61.240963475	50.622179899	24.486538463	15.868197701	44.581261033
59.078937135	49.523920051	68.485337192	62.354396549	37.670554017	41.629605038	90.259411602
50.339054999	67.828129159	40.537541052	60.640511403	74.923042428	50.537487674	15.218722192
9.617446094	42.39079095	35.627046425	28.406937245	31.079518526	36.336940001	55.279392777
36.591704446	40.324049213	44.39057778	30.168786022	37.160842902	58.542370745	18.289614823
59.495648208	36.313374325	28.530163465	42.185578314	50.504996844	66.871904646	23.438407767
24.861191619	38.541708033	19.501445691	44.790270252	11.28153248	33.93535163	32.557073287
67.565613622	89.901066302	61.330776027	51.45561724	94.397907877	54.775003133	62.488061321
50.964813579	77.788494479	64.615248415	67.916282433	55.044156358	72.119367781	47.317558234
56.077544607	86.45374391	79.986567336	32.805923732	96	77.661156496	79.411200429
55.315044498	63.443933585	59.468500443	57.517977301	40.572177106	91.413957037	44.271029847
71.346336433	76.711284043	45.655292383	42.245951658	92.881549575	38.593084135	93.237136837
22.485126509	48.384751926	41.386371907	49.946552293	43.584045597	53.379922826	64.9673867
55.495215427	54.961201236	55.313525898	39.835379064	41.005030305	37.194651154	65.803929242
55.230423611	65.348926845	95.611807211	42.404842558	47.31475834	72.296944011	98.187572325
44.292814359	29.764558689	43.167194884	46.314448801	39.64221395	44.38555665	58.864816558
43.459136333	47.164343832	6.551069911	42.278172613	36.119092324	52.544637973	48.713340959
39.862021078	52.17187302	30.639372537	41.400596433	3.548543772	31.539083022	22.969780397
54.011534691	25.033016847	24.511299383	58.907171974	8.317487118	29.687349247	43.14945188
58.326300498	17.534351695	48.065595325	51.684868074	36.25613526	55.465405197	94.238047051
46.178139462	52.834907056	59.749868689	43.785144359	82.667555499	53.915838131	68.466862898
3.540356024	9.511015014	30.46515794	37.118764769	7	50.260781703	2
14.174749986	10	2	32.312144204	10	7	16.572882199
54.178577161	44.518907787	47.831575611	45.894813909	47.459353169	31.855672439	62.001471784
72.922341187	79.879927151	49.619140851	41.58074999	74.768740491	80.045051712	36.395237928
54.100247251	56.511180537	63.315986716	60.436570402	60.682332585	64.184806136	27.552265241
31.994294434	39.904700456	38.011210584	48.808729867	44.463727411	47.572494368	36.294442642
33.857962374	42.633656585	25.034102652	26.483118125	10.514676255	45.332770602	6.111626804
75.348778655	92.920682081	70.413744216	67.384157325	87.341377985	70.141591217	86.850260957
58.925756481	64.879964831	48.304742727	26.722253624	42.676367197	75.780377247	17.934280784
53.066382776	65.785465669	25.367829204	33.35206057	59.749792159	44.320316527	10.207423103
96.339611662	114.314354751	89.589046931	72.030130683	93.75976419	93	86.584411531
83.338261079	89.947768918	63.376497246	64.225434829	94.261997275	95	78.945525382
62.995955968	41.686230174	67.123958186	60.191149592	42.182682571	71.909574724	69.159826328
52.968401957	60.495872426	97	76.491361012	73.79535153	86.977756374	93.262567731
47.244320494	66.581731198	65.293598574	58.8059302	38.154942493	80.481958367	29.840848369
13.828945155	18.95490162	42.993741086	39.831282922	47.774781491	9.179558099	31.47406315
39.684120768	37.702222372	44.443189117	53.287614304	50.326374831	63.050708573	24.202086817
58.904545665	62.525846067	48.911854102	52.39002758	38.659984008	37.304646526	32.71329905
61.821621911	66.863731788	82.998927662	69.255571706	37.14907188	91	79.80468462
98.097311794	82.061071842	75.365221167	80.373017332	92.482869496	83.335079169	74.891389417
56.963726609	41.383950367	82.041026028	69.467030364	53.530395237	70.773118138	97.292339713
39.816454816	41.135103122	30.857791019	50.010441138	42.420249881	11.540450491	39.299227042
36.597463811	39.829222395	71.062309727	50.509909607	48.998573896	46.737952689	42.008260809
57.579091206	38.595688264	29.654262728	56.065023293	5.299288322	25.706153005	16.797257989
73.906825471	64.784461512	93.779270922	51.476599303	96.177586492	100	41.820871628
35.35084611	31.56423013	44.323209431	36.796679567	37.004017253	0	27.07542544
36.781215905	31.45870249	56.235392157	41.396844177	18.332716635	4.639617552	20.79817571
9.628578555	22.822416175	46.212109557	41.239291249	54.272131476	16.957151801	29.696896487
52.464586552	79.790212865	63.96683831	53.03864623	79.726725268	39.171566458	57.999576501
40.205155627	47.762188583	42.061325637	41.773430456	67.781065029	35.072289262	72.007154764
48.624309443	52.613855357	39.13618563	42.78577079	36.01431088	43.268026052	54.841069008
61.29469532	21.985509947	39.872989347	35.532345472	38.210438227	58.015801219	28.819856987
30.931499234	35.06755831	34.012871469	4	31.543983282	62.299780492	56.272096687
62.400783258	41.402089309	55.15088309	61.684439385	60.248224859	41.40860065	55.578908057
61.265832767	31.075701595	58.159204214	48.035110961	64.474953069	96	28.229466061
51.177270102	61.811099247	44.947620426	48.948077425	57.746992996	18.079409687	35.889354892
45.633833197	26.088930228	62.260994597	59.862008823	54.836119216	57.313791758	33.166434889
82.732785978	64.213639143	46.31498112	66.087223887	49.245646911	54.199118989	51.795638717
43.459768604	49.999462211	25.046302476	33.243122422	36.342521477	43.563889435	32.714249807
76.5777343	63.572826522	63.710346964	39.305096387	79.445101957	39.253466456	87.61575089
55.12261812	51.58229382	46.209710877	58.909651658	8.067082264	63.240064007	7.333988031
58.884929224	62.029839701	84.151618966	57.592654997	70.64491067	62.459282346	68.054885792
12	2	7	16.475040878	5	2	0
52.354689941	37.702535841	77.275437278	59.633768082	66.262115717	84.355168086	88.28955606
15.34569427	16.003030622	54.70065179	33.440805124	35.88442229	55.171326829	41.963309494
75.023569035	71.783878832	72.769678413	42.864936104	95	92.599238875	80.786769592
91.135937423	55.077865754	69.848061809	79.852905306	59.293550048	30.994184521	91.997506896
57.913914329	56.863105468	57.819921174	54.423534445	19.182988865	87.563876335	67.890596159
87.462039369	78.10571136	77.278354578	95.221284295	65.255703917	86.04077203	55.271835874
27.240768171	40.551204099	57.688228497	37.211379692	67.089104076	68.351145853	54.462143693
47.996096024	51.267444102	29.311330105	46.945142729	17.155261281	2	50.84460228
39.113270687	45.921203412	56.515350679	56.305757868	67.117430095	54.904745301	35.670733705
30.359526232	13.231467862	15.455656578	43.744430607	7.936833674	3.98521487	1
56.390875034	73.677149307	50.84493391	51.458242449	66.149021639	69.338359025	83.175920048
19.087836457	17.902030127	32.987602625	33.907798914	54.762204796	47.109699371	29.318502483
38.044166569	74.368626053	96	72.499135302	97	66.293819672	89.695766793
47.868467281	34.115291979	59.190304616	61.596582083	28.180205085	54.003491363	18.071660843
83.081641469	78.420888453	74.514401263	55.299601717	73.353645788	64.743919136	87.232772842
38.77553923	35.698356091	35.412266348	53.614734968	50.454283987	11.662007446	29.349574393
34.893713571	27.003159163	59.088841496	77.813860692	52.991316405	50.545821404	44.641678584
74.053537746	65.465242738	49.905514901	57.175883387	60.350152964	27.431352574	39.630593438
53.584897109	32.214364901	65.869101708	78.180154895	31.092541862	45.180500027	67.154486238
55.499951329	79.063615725	69.066297983	55.35559241	99	42.306781365	46.635664947
24.497597204	22.105529989	25.447016877	11.362465528	46.237259172	48.762080416	3.59107083
65.170633857	70.785590283	39.269782407	50.081655609	68.803973483	63.720400845	71.166707674
37.214015961	32.717852098	49.158144781	50.575885369	56.019441054	39.530460917	88.087534657
64.446267318	76.761042829	42.756322998	47.754803116	39.348713635	79.423876573	88.904033927
56.516284937	51.321501759	64.800608611	65.868534031	88.585172083	56.777376171	58.804075611
59.073433452	26.677889278	46.374143837	72.020429141	39.245874798	56.767744626	56.259165507
18.616639545	10.853578758	23.432670643	27.123754709	24.43614412	41.441705585	40.602541468
