TIME	ID	YG
4	28	14.5064836116624
5	28	14.1649976083277
1	29	14.2637701119555
2	29	14.5626447882988
3	29	14.3316238910618
4	29	13.4662256587289
5	29	13.6548170169157
1	30	13.7996582534602
2	30	13.7029928239012
3	30	13.4798810702638
4	30	14.6532818173808
5	30	14.1768202951312
1	31	6.64411243954089
2	31	12.7615410558602
3	31	11.7183460475581
4	31	14.6465868603384
5	31	15.3751952681145
1	32	10.8584821822784
2	32	9.23533798545633
3	32	11.5298481386712
4	32	14.340966657747
5	32	13.4100994588837
1	33	8.20876001654488
2	33	7.99746221731023
3	33	12.5464562062583
4	33	12.5120965503099
5	33	17.8649126423434
1	34	10.4675739569297
2	34	9.4260692382757
3	34	12.2002285437131
4	34	12.0954438629645
5	34	12.8600861934218
1	35	6.95308380729008
2	35	9.08030952213235
3	35	11.8509826231338
4	35	13.9764123423559
5	35	13.5342502080608
1	36	5.69390078685525
2	36	10.7598171553246
3	36	10.935822789522
4	36	15.425839018784
5	36	17.7137924449699
1	37	6.40790132195984
2	37	10.422387188583
3	37	15.3172934962692
4	37	14.9091229967235
5	37	16.5718177589249
1	38	7.32822170956639
2	38	9.14558213881812
3	38	10.8908192400111
4	38	12.5981985179221
5	38	16.1459596844131
1	39	9.25210480990479
2	39	9.59582935986394
3	39	10.8680880401397
4	39	14.1653240319568
5	39	17.9731569955624
1	40	5.56694870619644
2	40	8.23115009169334
3	40	14.5845516215159
4	40	14.0376773573249
5	40	19.3720239807896
1	41	9.66468481472433
2	41	12.909713419697
3	41	14.3486795307386
4	41	13.9029658307372
5	41	17.8916797006524
1	42	8.42556633842684
2	42	13.130241901141
3	42	15.5924841882458
4	42	15.9344472887084
5	42	19.4793278190046
1	43	9.65783982540851
2	43	11.233901346113
3	43	15.604366432731
4	43	14.8176105300402
5	43	18.0232291417335
1	44	9.6799521140413
2	44	11.0584481641607
3	44	16.0257550149104
4	44	16.0240649225665
5	44	15.736690126408
1	45	7.92371247472606
2	45	10.4240108861335
3	45	15.1045592484681
4	45	14.1842359885813
5	45	18.0527647255328
1	46	9.13530657175355
2	46	11.359727177001
3	46	12.99321324114
4	46	18.5934421900543
5	46	19.9348047240593
1	47	9.58119541617564
2	47	11.9937939412374
3	47	13.4766081619514
4	47	15.5985821142053
5	47	19.6181106736975
1	48	11.8497441160315
2	48	12.2315459743529
3	48	11.4311782705336
4	48	18.2463790766251
5	48	16.4161737466381
1	49	8.85073898071504
2	49	13.3197843510359
3	49	14.1891064303274
4	49	16.3587195535063
5	49	17.141636171733
1	50	8.64090982825499
2	50	13.0831790668799
3	50	11.1469873094627
4	50	16.6860940784274
5	50	16.4223817620864
1	51	15.5414007540902
2	51	14.1563073955018
3	51	15.199402448221
4	51	19.2577939968875
5	51	19.8796987134043
1	52	15.6012512729618
2	52	14.3926511770353
3	52	13.7356667321072
4	52	16.9897335556007
5	52	21.7608504179029
1	53	14.4622549253865
2	53	14.5381938312786
3	53	15.719968068725
4	53	18.8421505346543
5	53	22.227498901591
1	54	12.0434638749841
2	54	14.7589352480305
3	54	15.6890938734628
4	54	20.0974796201933
5	54	19.1710650701772
1	55	8.47482757148799
2	55	13.8749538665727
3	55	15.5857986721628
4	55	15.6229739560481
5	55	19.6537290394712
1	56	10.7145028382811
2	56	16.3324338209968
3	56	17.7424800491535
4	56	18.8544869273492
5	56	18.4865045774704
1	57	14.1598698991918
2	57	14.6452127004577
3	57	15.3608785915553
4	57	17.2142946086188
5	57	19.4259550822309
1	58	10.2521535605187
2	58	13.6659180348653
3	58	15.684408635844
4	58	15.7462579759424
5	58	23.4987875292903
1	59	11.3428875844761
2	59	12.306530920425
3	59	14.2778047953991
4	59	19.2061355945935
5	59	21.6866231578021
1	60	10.5486599075475
2	60	14.0272563935507
3	60	16.8230793080849
4	60	17.9699343199837
5	60	17.6776259877414
