year;month;day;dep_time;sched_dep_time;dep_delay;arr_time;sched_arr_time;arr_delay;carrier;flight;tailnum;origin;dest;air_time;distance;hour;minute;time_hour
2013;4;2;1313;1310;3;1717;1701;16;DL;315;N3767;JFK;SJU;211;1598;13;10;2013-04-02 13:00:00
2013;2;18;1941;1935;6;2302;2334;-32;DL;2162;N3752;JFK;PHX;301;2153;19;35;2013-02-18 19:00:00
2013;4;29;801;811;-10;948;1008;-20;EV;5790;N15572;EWR;DAY;81;533;8;11;2013-04-29 08:00:00
2013;10;2;1516;1510;6;1731;1735;-4;MQ;3202;N619MQ;JFK;IND;101;665;15;10;2013-10-02 15:00:00
2013;11;2;1125;1130;-5;1318;1329;-11;EV;5211;N138EV;EWR;MSP;136;1008;11;30;2013-11-02 11:00:00
2013;3;4;629;630;-1;836;905;-29;EV;3828;N13956;EWR;ATL;109;746;6;30;2013-03-04 06:00:00
2013;8;2;1558;1545;13;1806;1806;0;DL;1942;N309DE;EWR;ATL;103;746;15;45;2013-08-02 15:00:00
2013;6;26;128;2359;89;519;340;99;B6;839;N613JB;JFK;BQN;196;1576;23;59;2013-06-26 23:00:00
2013;4;28;1922;1925;-3;2212;2243;-31;DL;2139;N906DE;LGA;MIA;149;1096;19;25;2013-04-28 19:00:00
2013;6;20;1454;1440;14;1648;1643;5;DL;1231;N365NB;LGA;DTW;78;502;14;40;2013-06-20 14:00:00
2013;2;23;1946;1955;-9;2256;2310;-14;AA;1709;N3FHAA;LGA;MIA;162;1096;19;55;2013-02-23 19:00:00
2013;11;14;1721;1725;-4;2039;2040;-1;VX;169;N621VA;EWR;LAX;343;2454;17;25;2013-11-14 17:00:00
2013;4;16;1821;1829;-8;2007;2031;-24;US;1973;N444US;EWR;CLT;77;529;18;29;2013-04-16 18:00:00
2013;6;16;1724;1729;-5;2054;2055;-1;VX;193;N628VA;EWR;SFO;358;2565;17;29;2013-06-16 17:00:00
2013;5;12;1329;1335;-6;1443;1442;1;EV;3832;N13914;EWR;PWM;47;284;13;35;2013-05-12 13:00:00
2013;6;24;NA;1959;NA;NA;2234;NA;EV;4204;N11187;EWR;OKC;NA;1325;19;59;2013-06-24 19:00:00
2013;6;30;848;855;-7;1154;1205;-11;AA;647;N5EVAA;JFK;MIA;157;1089;8;55;2013-06-30 08:00:00
2013;8;1;1744;1448;176;2019;1717;182;EV;4336;N15574;EWR;ATL;120;746;14;48;2013-08-01 14:00:00
2013;8;3;728;730;-2;1054;1045;9;VX;183;N841VA;EWR;SFO;368;2565;7;30;2013-08-03 07:00:00
2013;4;17;552;600;-8;644;659;-15;US;2161;N766US;LGA;DCA;43;214;6;0;2013-04-17 06:00:00
2013;3;7;1745;1745;0;2029;2055;-26;AA;785;N3JFAA;LGA;DFW;195;1389;17;45;2013-03-07 17:00:00
2013;7;27;1206;1209;-3;1315;1316;-1;B6;1191;N236JB;JFK;ACK;40;199;12;9;2013-07-27 12:00:00
2013;7;31;NA;959;NA;NA;1125;NA;UA;700;NA;EWR;ORD;NA;719;9;59;2013-07-31 09:00:00
2013;3;21;1544;1545;-1;1908;1907;1;DL;2098;N990DL;LGA;MIA;163;1096;15;45;2013-03-21 15:00:00
2013;10;23;1651;1655;-4;1901;1840;21;MQ;3411;N856MQ;LGA;RDU;76;431;16;55;2013-10-23 16:00:00
2013;7;18;747;750;-3;1023;1041;-18;B6;1717;N580JB;LGA;TPA;134;1010;7;50;2013-07-18 07:00:00
2013;3;22;1355;1400;-5;1451;1503;-12;US;2130;N967UW;LGA;BOS;37;184;14;0;2013-03-22 14:00:00
2013;3;15;1227;1230;-3;1350;1355;-5;WN;1964;N496WN;LGA;MKE;124;738;12;30;2013-03-15 12:00:00
2013;2;21;2041;2015;26;2232;2210;22;MQ;4555;N725MQ;LGA;CMH;76;479;20;15;2013-02-21 20:00:00
2013;4;11;919;922;-3;1203;1131;32;EV;4495;N11191;EWR;SAV;105;708;9;22;2013-04-11 09:00:00
2013;10;19;1516;1520;-4;1808;1808;0;UA;1695;N37274;EWR;IAH;214;1400;15;20;2013-10-19 15:00:00
2013;3;4;1755;1800;-5;1920;1914;6;B6;1016;N292JB;JFK;BOS;57;187;18;0;2013-03-04 18:00:00
2013;4;5;1110;1115;-5;1354;1410;-16;AA;739;N3DNAA;LGA;DFW;185;1389;11;15;2013-04-05 11:00:00
2013;10;10;1940;1925;15;2128;2151;-23;9E;3304;N914XJ;JFK;MSY;145;1182;19;25;2013-10-10 19:00:00
2013;9;14;1715;1714;1;1828;1839;-11;B6;918;N292JB;JFK;BOS;39;187;17;14;2013-09-14 17:00:00
2013;4;10;858;900;-2;1114;1127;-13;DL;485;N325NB;EWR;ATL;103;746;9;0;2013-04-10 09:00:00
2013;4;5;1405;1410;-5;1507;1522;-15;B6;1010;N283JB;JFK;BOS;38;187;14;10;2013-04-05 14:00:00
2013;3;11;1903;1905;-2;2148;2139;9;DL;1097;N332NB;JFK;MSY;190;1182;19;5;2013-03-11 19:00:00
2013;3;24;1744;1745;-1;2102;2120;-18;AA;177;N320AA;JFK;SFO;347;2586;17;45;2013-03-24 17:00:00
2013;9;18;608;611;-3;711;722;-11;EV;4533;N14902;EWR;BUF;47;282;6;11;2013-09-18 06:00:00
2013;4;29;720;723;-3;829;847;-18;UA;1142;N39416;EWR;BOS;42;200;7;23;2013-04-29 07:00:00
2013;3;5;2043;1905;98;2236;2114;82;EV;4153;N15973;EWR;CLT;92;529;19;5;2013-03-05 19:00:00
2013;12;12;2017;1932;45;2317;2305;12;B6;161;N527JB;JFK;SMF;343;2521;19;32;2013-12-12 19:00:00
2013;7;6;659;700;-1;950;940;10;AA;2083;N596AA;EWR;DFW;179;1372;7;0;2013-07-06 07:00:00
2013;10;22;828;836;-8;1029;1019;10;EV;4711;N16571;EWR;STL;142;872;8;36;2013-10-22 08:00:00
2013;2;22;1641;1529;72;1754;1642;72;EV;4385;N18101;EWR;PWM;49;284;15;29;2013-02-22 15:00:00
2013;5;24;1301;925;216;1428;1110;198;AA;1855;N558AA;LGA;STL;125;888;9;25;2013-05-24 09:00:00
2013;9;22;1728;1729;-1;2032;2050;-18;VX;193;N623VA;EWR;SFO;338;2565;17;29;2013-09-22 17:00:00
2013;3;13;559;600;-1;913;849;24;B6;145;N608JB;JFK;PBI;160;1028;6;0;2013-03-13 06:00:00
2013;5;19;827;830;-3;1110;1128;-18;DL;857;N3764D;JFK;SAN;312;2446;8;30;2013-05-19 08:00:00
2013;11;17;1155;1100;55;1317;1214;63;US;2177;N958UW;LGA;DCA;52;214;11;0;2013-11-17 11:00:00
2013;1;4;1854;1855;-1;2139;2100;39;MQ;4649;N8EGMQ;LGA;MSP;152;1020;18;55;2013-01-04 18:00:00
2013;1;16;659;700;-1;904;807;57;US;2163;N766US;LGA;DCA;62;214;7;0;2013-01-16 07:00:00
2013;12;17;1940;1720;140;2239;2030;129;AA;2488;N475AA;EWR;DFW;200;1372;17;20;2013-12-17 17:00:00
2013;5;29;1055;1105;-10;1413;1418;-5;DL;930;N944DL;LGA;FLL;157;1076;11;5;2013-05-29 11:00:00
2013;6;21;606;615;-9;821;808;13;US;1447;N127UW;JFK;CLT;94;541;6;15;2013-06-21 06:00:00
2013;11;17;1144;1135;9;1537;1511;26;UA;1723;N73251;EWR;SFO;392;2565;11;35;2013-11-17 11:00:00
2013;8;31;1819;1830;-11;1932;1940;-8;MQ;3044;N659MQ;JFK;BWI;46;184;18;30;2013-08-31 18:00:00
2013;8;10;600;605;-5;824;839;-15;B6;583;N190JB;JFK;MCO;123;944;6;5;2013-08-10 06:00:00
2013;7;17;912;915;-3;1311;1307;4;UA;1216;N36444;EWR;SJU;208;1608;9;15;2013-07-17 09:00:00
2013;11;18;1324;1326;-2;1456;1504;-8;EV;4552;N14570;EWR;GSO;72;445;13;26;2013-11-18 13:00:00
2013;4;7;1733;1729;4;2030;2034;-4;UA;280;N442UA;EWR;SEA;321;2402;17;29;2013-04-07 17:00:00
2013;2;7;803;812;-9;935;950;-15;B6;1051;N249JB;JFK;PIT;69;340;8;12;2013-02-07 08:00:00
2013;4;14;1338;1340;-2;1446;1459;-13;B6;602;N354JB;JFK;PWM;52;273;13;40;2013-04-14 13:00:00
2013;7;31;1504;1453;11;1820;1755;25;B6;1171;N579JB;LGA;FLL;153;1076;14;53;2013-07-31 14:00:00
2013;2;10;1144;1135;9;1323;1330;-7;MQ;4553;N736MQ;LGA;CLE;71;419;11;35;2013-02-10 11:00:00
2013;6;26;1640;1620;20;1842;1853;-11;9E;3341;N927XJ;JFK;DTW;82;509;16;20;2013-06-26 16:00:00
2013;7;27;1823;1830;-7;2104;2140;-36;B6;305;N595JB;EWR;FLL;141;1065;18;30;2013-07-27 18:00:00
2013;7;23;NA;750;NA;NA;1030;NA;AA;715;N547AA;LGA;DFW;NA;1389;7;50;2013-07-23 07:00:00
2013;9;5;1602;1605;-3;1840;1918;-38;DL;706;N3747D;JFK;AUS;189;1521;16;5;2013-09-05 16:00:00
2013;9;6;2001;2010;-9;2155;2229;-34;EV;4085;N27152;EWR;OMA;144;1134;20;10;2013-09-06 20:00:00
2013;11;6;1416;1415;1;1728;1736;-8;UA;1493;N14214;EWR;LAX;352;2454;14;15;2013-11-06 14:00:00
2013;9;24;1154;1200;-6;1349;1354;-5;US;1978;N562UW;JFK;CLT;79;541;12;0;2013-09-24 12:00:00
2013;7;20;626;630;-4;826;834;-8;UA;311;N579UA;EWR;DEN;216;1605;6;30;2013-07-20 06:00:00
2013;6;12;1452;1455;-3;1607;1611;-4;9E;4280;N8745B;JFK;PHL;26;94;14;55;2013-06-12 14:00:00
2013;7;10;823;830;-7;952;950;2;AA;1838;N3GVAA;JFK;BOS;35;187;8;30;2013-07-10 08:00:00
2013;1;1;1549;1548;1;1851;1859;-8;UA;80;N54241;EWR;MIA;156;1085;15;48;2013-01-01 15:00:00
2013;2;20;1527;1535;-8;1711;1728;-17;UA;247;N820UA;LGA;CLE;73;419;15;35;2013-02-20 15:00:00
2013;6;2;609;610;-1;831;847;-16;B6;79;N561JB;JFK;MCO;123;944;6;10;2013-06-02 06:00:00
2013;4;28;855;905;-10;1017;1019;-2;B6;56;N265JB;JFK;BTV;50;266;9;5;2013-04-28 09:00:00
2013;6;7;NA;1325;NA;NA;1500;NA;AA;331;N583AA;LGA;ORD;NA;733;13;25;2013-06-07 13:00:00
2013;10;5;551;600;-9;712;730;-18;UA;654;N438UA;EWR;ORD;112;719;6;0;2013-10-05 06:00:00
2013;12;3;923;930;-7;1207;1236;-29;DL;1885;N955DL;LGA;MCO;135;950;9;30;2013-12-03 09:00:00
2013;2;12;1940;1945;-5;2220;2241;-21;9E;3314;N917XJ;JFK;JAX;136;828;19;45;2013-02-12 19:00:00
2013;7;29;NA;630;NA;NA;904;NA;B6;1099;N621JB;LGA;MCO;NA;950;6;30;2013-07-29 06:00:00
2013;8;19;853;900;-7;1014;1033;-19;UA;544;N439UA;LGA;ORD;106;733;9;0;2013-08-19 09:00:00
2013;8;23;906;900;6;1304;1255;9;UA;1216;N81449;EWR;SJU;207;1608;9;0;2013-08-23 09:00:00
2013;3;20;1337;1345;-8;1701;1705;-4;AA;117;N336AA;JFK;LAX;356;2475;13;45;2013-03-20 13:00:00
2013;8;24;1557;1550;7;1826;1840;-14;UA;814;N567UA;EWR;SEA;299;2402;15;50;2013-08-24 15:00:00
2013;8;20;1324;1328;-4;1521;1530;-9;9E;3795;N830AY;EWR;CVG;88;569;13;28;2013-08-20 13:00:00
2013;6;15;1830;1835;-5;2143;2213;-30;B6;173;N590JB;JFK;SJC;353;2569;18;35;2013-06-15 18:00:00
2013;9;15;538;545;-7;804;855;-51;AA;2243;N5BSAA;JFK;MIA;133;1089;5;45;2013-09-15 05:00:00
