case_ID F1_1 F1_3 F1_5 F1_7 F1_9 F1_11 F1_13 F1_15 F1_17 F1_19 C_2 C_4 C_6 C_8 C_10 C_12 C_14 C_16 C_18 C_20 F2_1 F2_3 F2_5 F2_7 F2_9 F2_11 F2_13 F2_15 F2_17 F2_19
72 1 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
73 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
74 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
75 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
76 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
77 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
78 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
79 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 NA NA NA NA NA NA NA NA NA NA
80 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA
81 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
82 0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
83 0 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
84 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
85 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA
86 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
87 0 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
88 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
89 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
90 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
91 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
92 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
93 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
94 1 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
95 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
96 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
97 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
98 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
99 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
100 0 0 0 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
101 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
102 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
103 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
104 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
106 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
107 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
108 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
109 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
110 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA
111 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
112 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
113 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
114 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
115 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
116 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
117 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
118 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
119 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
120 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
121 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
123 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
125 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
126 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
127 0 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
128 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
129 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
130 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
131 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
132 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
133 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
135 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
136 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
137 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
138 0 1 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
139 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
140 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
141 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
142 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
143 1 0 0 0 1 1 1 1 1 0 1 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
145 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
146 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
147 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
148 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA
149 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
150 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
151 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
152 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
153 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
154 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 NA NA NA NA NA NA NA NA NA NA
155 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
156 0 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
157 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
158 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
159 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
160 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
161 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
162 0 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
163 1 1 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
164 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
165 0 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA
166 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
167 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
168 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
169 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
170 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
171 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
172 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
173 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 0 1 1 1 0 NA NA NA NA NA NA NA NA NA NA
174 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
175 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
176 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
177 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
178 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
180 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
181 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
182 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
183 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
184 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
185 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
186 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
187 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
188 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
189 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
190 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
191 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
192 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
193 1 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
194 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA
195 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
196 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
197 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
198 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
199 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
200 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
201 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
202 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
203 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
204 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
205 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
206 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
207 0 1 1 1 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
208 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
209 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
210 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
211 0 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
212 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
213 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
214 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
215 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
216 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
217 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
