case_ID F1_1 C_2 F1_3 C_4 F1_5 C_6 F1_7 C_8 F1_9 C_10 F1_11 C_12 F1_13 C_14 F1_15 C_16 F1_17 C_18 F1_19 C_20
156 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0
157 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
158 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0
159 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
160 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0
161 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0
162 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0
163 1 1 1 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0
164 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1
165 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0
166 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
167 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0
168 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0
169 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
170 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0
171 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0
172 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
173 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0
174 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1
175 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0
176 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0
177 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0
178 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1
179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
180 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1
181 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1
182 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1
183 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0
184 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
185 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
186 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
187 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 1 0 0 0 0
188 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
189 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1
190 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1
191 0 1 0 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0
192 0 1 0 1 0 1 1 0 0 0 1 0 1 1 1 1 0 0 0 1
193 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 1
194 1 1 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0
195 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1
196 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
197 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0
198 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1
199 0 1 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0
200 1 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0
201 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
202 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1
203 0 1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0
204 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0
205 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
206 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1
207 0 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 0 0 0
208 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0
209 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
210 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
211 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
212 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
213 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0
214 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
215 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0
216 1 1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0
217 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0
218 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
219 0 0 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0
220 1 1 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 0 1
221 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
222 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0
223 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0
224 0 1 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 0
225 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1
226 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
227 0 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 0 0
228 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
229 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1
230 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0
231 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0
232 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
233 0 1 1 0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1
234 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 0 0 0
235 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0
236 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
238 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0
239 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1
240 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0
241 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0
242 0 0 0 1 0 0 1 1 0 0 1 0 1 1 1 1 0 0 0 0
243 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0
244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
245 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
246 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 1
247 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
248 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0
249 1 1 0 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1
250 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
251 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
252 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0
253 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1
254 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
255 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0
256 0 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0
257 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
258 0 1 0 0 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0
259 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 1
260 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
261 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
262 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
263 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
264 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0
265 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
266 1 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0
267 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1
268 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
269 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0
270 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
271 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0
272 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0
273 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0
274 0 1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 0
275 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0
276 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0
277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
278 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
279 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0
280 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0
281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
282 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
284 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
285 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
287 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
288 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0
289 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
290 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1
291 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
292 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0
293 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1
294 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1
295 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0
296 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0
297 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
298 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0
299 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
301 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0
302 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0
303 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
304 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
305 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
306 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0
307 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
308 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0
309 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 0 1
310 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 0
311 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0
312 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
313 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
314 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
315 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0
316 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
317 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1
318 0 1 0 1 0 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1
319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
320 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0
321 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
322 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
323 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0
324 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1
325 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0
326 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0
327 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0
328 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0
